District_Name,Season,Area,Production,Crop
VISAKHAPATANAM,Kharif     ,5894,9224,Maize
VISAKHAPATANAM,Rabi       ,1297,10411,Maize
VIZIANAGARAM,Kharif     ,16616,47705,Maize
VIZIANAGARAM,Rabi       ,14358,110241,Maize
WEST GODAVARI,Kharif     ,2637,15445,Maize
WEST GODAVARI,Rabi       ,52635,354444,Maize
ANJAW,Kharif     ,1290,3197,Maize
CHANGLANG,Kharif     ,945,1476,Maize
DIBANG VALLEY,Kharif     ,1828,2650,Maize
EAST KAMENG,Kharif     ,2700,4038,Maize
EAST SIANG,Kharif     ,4252,8633,Maize
KURUNG KUMEY,Kharif     ,134,197,Maize
LOHIT,Kharif     ,10390,12850,Maize
LONGDING,Kharif     ,1595,3900,Maize
LOWER DIBANG VALLEY,Kharif     ,8264,11091,Maize
LOWER SUBANSIRI,Kharif     ,715,1735,Maize
PAPUM PARE,Kharif     ,2398,5268,Maize
TAWANG,Kharif     ,765,1914,Maize
TIRAP,Kharif     ,3660,4287,Maize
UPPER SIANG,Kharif     ,1600,2147,Maize
UPPER SUBANSIRI,Kharif     ,1139,1662,Maize
WEST KAMENG,Kharif     ,2926,5266,Maize
WEST SIANG,Kharif     ,3399,4689,Maize
BAKSA,Kharif     ,340,1183,Maize
BARPETA,Kharif     ,70,221,Maize
BONGAIGAON,Kharif     ,894,2598,Maize
CACHAR,Kharif     ,102,236,Maize
CHIRANG,Kharif     ,297,864,Maize
DARRANG,Kharif     ,5085,14207,Maize
DHEMAJI,Kharif     ,304,1367,Maize
DHUBRI,Kharif     ,1195,3209,Maize
DIBRUGARH,Kharif     ,98,249,Maize
DIMA HASAO,Kharif     ,3405,11843,Maize
GOALPARA,Kharif     ,245,582,Maize
GOLAGHAT,Kharif     ,237,654,Maize
HAILAKANDI,Kharif     ,20,34,Maize
JORHAT,Kharif     ,25,63,Maize
KAMRUP,Kharif     ,246,713,Maize
KAMRUP METRO,Kharif     ,66,167,Maize
KARBI ANGLONG,Kharif     ,10375,37969,Maize
KARIMGANJ,Kharif     ,35,74,Maize
KOKRAJHAR,Kharif     ,935,2230,Maize
LAKHIMPUR,Kharif     ,103,462,Maize
MARIGAON,Kharif     ,200,330,Maize
NAGAON,Kharif     ,593,1826,Maize
NALBARI,Kharif     ,70,215,Maize
SIVASAGAR,Kharif     ,32,105,Maize
SONITPUR,Kharif     ,1420,7323,Maize
TINSUKIA,Kharif     ,966,2732,Maize
UDALGURI,Kharif     ,595,1723,Maize
ARARIA,Autumn     ,7437,33584,Maize
ARARIA,Rabi       ,18346,81365,Maize
ARARIA,Summer     ,18525,74348,Maize
ARWAL,Autumn     ,227,569,Maize
ARWAL,Rabi       ,277,1006,Maize
ARWAL,Summer     ,137,577,Maize
AURANGABAD,Autumn     ,339,672,Maize
AURANGABAD,Rabi       ,8,29,Maize
AURANGABAD,Summer     ,2,9,Maize
BANKA,Autumn     ,7070,20688,Maize
BANKA,Rabi       ,683,1679,Maize
BANKA,Summer     ,3280,13565,Maize
BEGUSARAI,Autumn     ,30672,61233,Maize
BEGUSARAI,Rabi       ,15264,51684,Maize
BEGUSARAI,Summer     ,2057,8742,Maize
BHAGALPUR,Autumn     ,17559,69304,Maize
BHAGALPUR,Rabi       ,18452,45355,Maize
BHAGALPUR,Summer     ,10051,41149,Maize
BHOJPUR,Autumn     ,2558,5069,Maize
BHOJPUR,Rabi       ,57,151,Maize
BHOJPUR,Summer     ,839,3493,Maize
BUXAR,Autumn     ,1317,1873,Maize
BUXAR,Rabi       ,8,21,Maize
BUXAR,Summer     ,34,132,Maize
DARBHANGA,Autumn     ,1655,4394,Maize
DARBHANGA,Rabi       ,12522,37140,Maize
DARBHANGA,Summer     ,581,1708,Maize
GAYA,Autumn     ,6357,12382,Maize
GAYA,Rabi       ,226,820,Maize
GAYA,Summer     ,848,3480,Maize
GOPALGANJ,Autumn     ,5803,14214,Maize
GOPALGANJ,Rabi       ,9399,25819,Maize
GOPALGANJ,Summer     ,1488,5162,Maize
JAMUI,Autumn     ,2065,3597,Maize
JAMUI,Rabi       ,227,785,Maize
JAMUI,Summer     ,506,1968,Maize
JEHANABAD,Autumn     ,178,412,Maize
JEHANABAD,Rabi       ,54,196,Maize
JEHANABAD,Summer     ,219,922,Maize
KAIMUR (BHABUA),Autumn     ,330,259,Maize
KAIMUR (BHABUA),Summer     ,45,191,Maize
KATIHAR,Autumn     ,12063,54963,Maize
KATIHAR,Rabi       ,14582,140089,Maize
KATIHAR,Summer     ,20299,110570,Maize
KHAGARIA,Autumn     ,17899,62173,Maize
KHAGARIA,Rabi       ,34162,119465,Maize
KHAGARIA,Summer     ,8096,33196,Maize
KISHANGANJ,Autumn     ,337,654,Maize
KISHANGANJ,Rabi       ,995,1805,Maize
KISHANGANJ,Summer     ,1701,7006,Maize
LAKHISARAI,Autumn     ,5106,11620,Maize
MADHEPURA,Autumn     ,5832,20358,Maize
MADHEPURA,Rabi       ,17807,102444,Maize
MADHEPURA,Summer     ,19781,106664,Maize
MADHUBANI,Autumn     ,192,473,Maize
MADHUBANI,Rabi       ,212,600,Maize
MADHUBANI,Summer     ,214,613,Maize
MUNGER,Autumn     ,3111,7673,Maize
MUNGER,Rabi       ,506,1413,Maize
MUNGER,Summer     ,1027,4056,Maize
MUZAFFARPUR,Autumn     ,29025,133734,Maize
MUZAFFARPUR,Rabi       ,11519,24535,Maize
MUZAFFARPUR,Summer     ,8224,33616,Maize
NALANDA,Autumn     ,2711,6046,Maize
NALANDA,Rabi       ,878,2321,Maize
NALANDA,Summer     ,2307,9632,Maize
NAWADA,Autumn     ,1474,3150,Maize
NAWADA,Summer     ,455,1882,Maize
PASHCHIM CHAMPARAN,Autumn     ,2073,4874,Maize
PASHCHIM CHAMPARAN,Rabi       ,4641,13083,Maize
PASHCHIM CHAMPARAN,Summer     ,3111,10365,Maize
PATNA,Autumn     ,4989,15289,Maize
PATNA,Rabi       ,391,1034,Maize
PATNA,Summer     ,1399,5587,Maize
PURBI CHAMPARAN,Autumn     ,41750,82553,Maize
PURBI CHAMPARAN,Rabi       ,6487,4534,Maize
PURBI CHAMPARAN,Summer     ,3994,15495,Maize
PURNIA,Autumn     ,7813,20794,Maize
PURNIA,Rabi       ,11323,20563,Maize
PURNIA,Summer     ,16468,36213,Maize
ROHTAS,Autumn     ,47,114,Maize
ROHTAS,Summer     ,4,16,Maize
SAHARSA,Autumn     ,1173,5217,Maize
SAHARSA,Rabi       ,11939,50574,Maize
SAHARSA,Summer     ,15128,72319,Maize
SAMASTIPUR,Autumn     ,12114,29411,Maize
SAMASTIPUR,Rabi       ,33998,94548,Maize
SAMASTIPUR,Summer     ,10774,32041,Maize
SARAN,Autumn     ,15387,40056,Maize
SARAN,Rabi       ,6309,19394,Maize
SARAN,Summer     ,6120,21308,Maize
SHEIKHPURA,Autumn     ,561,683,Maize
SHEIKHPURA,Rabi       ,77,266,Maize
SHEIKHPURA,Summer     ,25,106,Maize
SHEOHAR,Autumn     ,193,836,Maize
SHEOHAR,Rabi       ,1436,4851,Maize
SHEOHAR,Summer     ,195,758,Maize
SITAMARHI,Autumn     ,1028,4033,Maize
SITAMARHI,Rabi       ,4193,13506,Maize
SITAMARHI,Summer     ,273,1059,Maize
SIWAN,Autumn     ,12023,30399,Maize
SIWAN,Rabi       ,4961,9927,Maize
SIWAN,Summer     ,1171,4170,Maize
SUPAUL,Autumn     ,2885,7558,Maize
SUPAUL,Rabi       ,3222,10997,Maize
SUPAUL,Summer     ,6301,32266,Maize
VAISHALI,Autumn     ,14063,54235,Maize
VAISHALI,Rabi       ,6555,31785,Maize
VAISHALI,Summer     ,11707,45431,Maize
BALOD,Kharif     ,259,315,Maize
BALODA BAZAR,Kharif     ,79,134,Maize
BALRAMPUR,Kharif     ,19750,35369,Maize
BASTAR,Kharif     ,9924,19865,Maize
BEMETARA,Kharif     ,33,46,Maize
BIJAPUR,Kharif     ,609,1298,Maize
BILASPUR,Kharif     ,3152,5738,Maize
DANTEWADA,Kharif     ,3328,7098,Maize
DHAMTARI,Kharif     ,4962,13066,Maize
DURG,Kharif     ,485,591,Maize
GARIYABAND,Kharif     ,9023,15314,Maize
JANJGIR-CHAMPA,Kharif     ,387,704,Maize
JASHPUR,Kharif     ,5630,10554,Maize
KABIRDHAM,Kharif     ,2551,3840,Maize
KANKER,Kharif     ,11213,22076,Maize
KONDAGAON,Kharif     ,13934,27892,Maize
KORBA,Kharif     ,4573,7686,Maize
KOREA,Kharif     ,8058,13743,Maize
MAHASAMUND,Kharif     ,117,183,Maize
MUNGELI,Kharif     ,181,329,Maize
NARAYANPUR,Kharif     ,1202,2406,Maize
RAIGARH,Kharif     ,924,1907,Maize
RAIPUR,Kharif     ,574,975,Maize
RAJNANDGAON,Kharif     ,1426,2147,Maize
SUKMA,Kharif     ,2899,6278,Maize
SURAJPUR,Kharif     ,10489,18783,Maize
SURGUJA,Kharif     ,9312,16677,Maize
DADRA AND NAGAR HAVELI,Kharif     ,75,75,Maize
DADRA AND NAGAR HAVELI,Winter     ,35,35,Maize
ANANTNAG,Kharif     ,11761,13768,Maize
BADGAM,Kharif     ,10936,13593,Maize
BANDIPORA,Kharif     ,4927,3980,Maize
BARAMULLA,Kharif     ,21993,29243,Maize
DODA,Kharif     ,25808,28397,Maize
GANDERBAL,Kharif     ,3375,2484,Maize
JAMMU,Kharif     ,10961,13306,Maize
KATHUA,Kharif     ,18852,27663,Maize
KISHTWAR,Kharif     ,12582,6217,Maize
KULGAM,Kharif     ,3247,1022,Maize
KUPWARA,Kharif     ,18088,15587,Maize
POONCH,Kharif     ,23827,37050,Maize
PULWAMA,Kharif     ,5076,4348,Maize
RAJAURI,Kharif     ,47815,72115,Maize
RAMBAN,Kharif     ,18022,12941,Maize
REASI,Kharif     ,21750,17437,Maize
SAMBA,Kharif     ,4009,4259,Maize
SRINAGAR,Kharif     ,752,782,Maize
UDHAMPUR,Kharif     ,33715,55768,Maize
BAGALKOT,Kharif     ,44472,166543,Maize
BAGALKOT,Rabi       ,20789,81388,Maize
BAGALKOT,Summer     ,2820,9746,Maize
BANGALORE RURAL,Kharif     ,14334,44066,Maize
BANGALORE RURAL,Rabi       ,127,429,Maize
BANGALORE RURAL,Summer     ,99,323,Maize
BELGAUM,Kharif     ,119185,447468,Maize
BELGAUM,Rabi       ,33268,115641,Maize
BELGAUM,Summer     ,4265,17427,Maize
BELLARY,Kharif     ,95624,249999,Maize
BELLARY,Rabi       ,2369,6468,Maize
BELLARY,Summer     ,1859,4812,Maize
BENGALURU URBAN,Kharif     ,634,1985,Maize
BENGALURU URBAN,Rabi       ,118,399,Maize
BENGALURU URBAN,Summer     ,40,130,Maize
BIDAR,Kharif     ,1065,1329,Maize
BIDAR,Rabi       ,396,1337,Maize
BIDAR,Summer     ,22,72,Maize
BIJAPUR,Kharif     ,54990,175215,Maize
BIJAPUR,Rabi       ,7579,22824,Maize
BIJAPUR,Summer     ,3445,10358,Maize
CHAMARAJANAGAR,Kharif     ,32800,140127,Maize
CHAMARAJANAGAR,Rabi       ,979,2616,Maize
CHAMARAJANAGAR,Summer     ,946,4775,Maize
CHIKBALLAPUR,Kharif     ,64454,129627,Maize
CHIKBALLAPUR,Rabi       ,306,946,Maize
CHIKBALLAPUR,Summer     ,412,1344,Maize
CHIKMAGALUR,Kharif     ,23589,60797,Maize
CHITRADURGA,Kharif     ,86351,247823,Maize
CHITRADURGA,Rabi       ,3803,8407,Maize
CHITRADURGA,Summer     ,1195,3577,Maize
DAVANGERE,Kharif     ,179496,576021,Maize
DAVANGERE,Rabi       ,1780,6722,Maize
DAVANGERE,Summer     ,835,2753,Maize
DHARWAD,Kharif     ,29177,79828,Maize
DHARWAD,Rabi       ,3768,8373,Maize
DHARWAD,Summer     ,634,2068,Maize
GADAG,Kharif     ,53717,146664,Maize
GADAG,Rabi       ,1532,3030,Maize
GADAG,Summer     ,115,375,Maize
GULBARGA,Kharif     ,4747,12713,Maize
GULBARGA,Rabi       ,136,87,Maize
GULBARGA,Summer     ,601,593,Maize
HASSAN,Kharif     ,78492,307814,Maize
HASSAN,Rabi       ,4806,15012,Maize
HASSAN,Summer     ,138,450,Maize
HAVERI,Kharif     ,137136,382369,Maize
HAVERI,Rabi       ,7944,28768,Maize
HAVERI,Summer     ,3124,9571,Maize
KODAGU,Kharif     ,3467,17740,Maize
KODAGU,Rabi       ,15,51,Maize
KODAGU,Summer     ,38,124,Maize
KOLAR,Kharif     ,439,1374,Maize
KOLAR,Rabi       ,35,118,Maize
KOLAR,Summer     ,55,179,Maize
KOPPAL,Kharif     ,56712,172189,Maize
KOPPAL,Rabi       ,5486,16948,Maize
KOPPAL,Summer     ,1740,4324,Maize
MANDYA,Kharif     ,3904,15978,Maize
MANDYA,Rabi       ,411,1388,Maize
MANDYA,Summer     ,173,564,Maize
MYSORE,Kharif     ,30195,101259,Maize
MYSORE,Rabi       ,6266,22704,Maize
MYSORE,Summer     ,238,776,Maize
RAICHUR,Kharif     ,198,293,Maize
RAICHUR,Rabi       ,118,399,Maize
RAMANAGARA,Kharif     ,2084,8262,Maize
RAMANAGARA,Rabi       ,114,467,Maize
RAMANAGARA,Summer     ,530,1729,Maize
SHIMOGA,Kharif     ,58712,209831,Maize
SHIMOGA,Rabi       ,268,1367,Maize
TUMKUR,Kharif     ,27981,66721,Maize
TUMKUR,Rabi       ,77,246,Maize
TUMKUR,Summer     ,146,476,Maize
UDUPI,Rabi       ,29,98,Maize
UDUPI,Summer     ,1,3,Maize
UTTAR KANNAD,Kharif     ,5667,21938,Maize
UTTAR KANNAD,Rabi       ,187,632,Maize
UTTAR KANNAD,Summer     ,439,1432,Maize
YADGIR,Kharif     ,714,2316,Maize
YADGIR,Rabi       ,114,385,Maize
YADGIR,Summer     ,18,59,Maize
IDUKKI,Whole Year ,2,5,Maize
PALAKKAD,Whole Year ,64,64,Maize
WAYANAD,Whole Year ,1,155411,Maize
AHMEDNAGAR,Kharif     ,68100,176100,Maize
AHMEDNAGAR,Rabi       ,29400,57600,Maize
AHMEDNAGAR,Summer     ,200,400,Maize
AKOLA,Kharif     ,100,200,Maize
AMRAVATI,Kharif     ,800,1500,Maize
AMRAVATI,Rabi       ,1800,300,Maize
AURANGABAD,Kharif     ,191700,175800,Maize
AURANGABAD,Rabi       ,9000,11400,Maize
AURANGABAD,Summer     ,3400,1500,Maize
BEED,Kharif     ,6200,4700,Maize
BEED,Rabi       ,8500,5900,Maize
BEED,Summer     ,1300,600,Maize
BULDHANA,Kharif     ,30000,54400,Maize
BULDHANA,Rabi       ,17200,2700,Maize
BULDHANA,Summer     ,1700,3000,Maize
CHANDRAPUR,Summer     ,100,100,Maize
DHULE,Kharif     ,89600,178200,Maize
DHULE,Rabi       ,10400,37400,Maize
DHULE,Summer     ,600,600,Maize
GADCHIROLI,Kharif     ,1500,2700,Maize
GADCHIROLI,Rabi       ,300,155411,Maize
GONDIA,Rabi       ,400,100,Maize
GONDIA,Summer     ,200,200,Maize
HINGOLI,Kharif     ,1300,500,Maize
HINGOLI,Rabi       ,500,100,Maize
HINGOLI,Summer     ,1600,1000,Maize
JALGAON,Kharif     ,94600,235100,Maize
JALGAON,Rabi       ,50100,188200,Maize
JALGAON,Summer     ,9400,23500,Maize
JALNA,Kharif     ,57600,32200,Maize
JALNA,Summer     ,200,100,Maize
KOLHAPUR,Kharif     ,2900,9800,Maize
KOLHAPUR,Rabi       ,6500,19400,Maize
KOLHAPUR,Summer     ,100,300,Maize
LATUR,Kharif     ,6700,4100,Maize
LATUR,Rabi       ,2000,1100,Maize
NAGPUR,Kharif     ,200,400,Maize
NAGPUR,Summer     ,400,400,Maize
NANDED,Kharif     ,700,300,Maize
NANDED,Rabi       ,200,100,Maize
NANDED,Summer     ,3000,3500,Maize
NANDURBAR,Kharif     ,28900,45300,Maize
NANDURBAR,Rabi       ,2500,9400,Maize
NANDURBAR,Summer     ,2400,3200,Maize
NASHIK,Kharif     ,116900,309000,Maize
NASHIK,Rabi       ,2900,13700,Maize
NASHIK,Summer     ,200,200,Maize
OSMANABAD,Kharif     ,21200,8000,Maize
OSMANABAD,Rabi       ,2700,1600,Maize
OSMANABAD,Summer     ,1300,800,Maize
PARBHANI,Kharif     ,1500,600,Maize
PARBHANI,Summer     ,400,300,Maize
PUNE,Kharif     ,13300,54500,Maize
PUNE,Rabi       ,21600,77300,Maize
PUNE,Summer     ,1100,1600,Maize
SANGLI,Kharif     ,37100,146400,Maize
SANGLI,Rabi       ,24300,94100,Maize
SANGLI,Summer     ,2400,3700,Maize
SATARA,Kharif     ,16400,31400,Maize
SATARA,Rabi       ,11700,24800,Maize
SATARA,Summer     ,2700,4300,Maize
SINDHUDURG,Rabi       ,100,200,Maize
SOLAPUR,Kharif     ,12700,24000,Maize
SOLAPUR,Rabi       ,36100,105800,Maize
SOLAPUR,Summer     ,2200,3400,Maize
WARDHA,Summer     ,1000,1000,Maize
WASHIM,Kharif     ,500,900,Maize
WASHIM,Rabi       ,300,155411,Maize
YAVATMAL,Rabi       ,1300,200,Maize
EAST GARO HILLS,Whole Year ,793,1534,Maize
EAST JAINTIA HILLS,Whole Year ,350,776,Maize
EAST KHASI HILLS,Whole Year ,2093,6924,Maize
NORTH GARO HILLS,Whole Year ,293,554,Maize
RI BHOI,Whole Year ,1585,5010,Maize
SOUTH GARO HILLS,Whole Year ,1001,1730,Maize
SOUTH WEST GARO HILLS,Whole Year ,1489,3575,Maize
SOUTH WEST KHASI HILLS,Whole Year ,1362,2247,Maize
WEST GARO HILLS,Whole Year ,3139,7296,Maize
WEST JAINTIA HILLS,Whole Year ,2853,5271,Maize
WEST KHASI HILLS,Whole Year ,3079,5847,Maize
DIMAPUR,Kharif     ,5350,10550,Maize
DIMAPUR,Rabi       ,1380,2720,Maize
KIPHIRE,Kharif     ,7260,14340,Maize
KIPHIRE,Rabi       ,290,570,Maize
KOHIMA,Kharif     ,4610,9100,Maize
LONGLENG,Kharif     ,3030,5990,Maize
MOKOKCHUNG,Kharif     ,3100,6120,Maize
MOKOKCHUNG,Rabi       ,830,1630,Maize
MON,Kharif     ,4560,8990,Maize
MON,Rabi       ,1040,2050,Maize
PEREN,Kharif     ,3100,6120,Maize
PHEK,Kharif     ,8110,15990,Maize
PHEK,Rabi       ,710,1410,Maize
TUENSANG,Kharif     ,10130,20070,Maize
WOKHA,Kharif     ,4260,8410,Maize
WOKHA,Rabi       ,970,1930,Maize
ZUNHEBOTO,Kharif     ,10090,19950,Maize
ANUGUL,Autumn     ,560,555,Maize
ANUGUL,Summer     ,16,27.5,Maize
ANUGUL,Winter     ,14,29.6,Maize
BALANGIR,Autumn     ,1341,1947.2,Maize
BALANGIR,Winter     ,3,8,Maize
BALESHWAR,Summer     ,46,146.7,Maize
BARGARH,Autumn     ,117,134.9,Maize
BARGARH,Summer     ,13,30.2,Maize
BARGARH,Winter     ,1,2.4,Maize
BHADRAK,Summer     ,8,37.7,Maize
BOUDH,Autumn     ,211,151.6,Maize
BOUDH,Summer     ,1,2.8,Maize
CUTTACK,Summer     ,1,1.3,Maize
CUTTACK,Winter     ,2,9.2,Maize
DEOGARH,Autumn     ,47,76.4,Maize
DEOGARH,Summer     ,4,8.3,Maize
DHENKANAL,Autumn     ,107,135.6,Maize
DHENKANAL,Summer     ,3,5.8,Maize
DHENKANAL,Winter     ,19,24.8,Maize
GAJAPATI,Autumn     ,14921,16025.6,Maize
GAJAPATI,Summer     ,3,3.4,Maize
GANJAM,Autumn     ,587,962.8,Maize
GANJAM,Summer     ,33,83.4,Maize
GANJAM,Winter     ,1,4.6,Maize
JAJAPUR,Autumn     ,45,31.7,Maize
JHARSUGUDA,Autumn     ,28,87.4,Maize
JHARSUGUDA,Winter     ,7,31.5,Maize
KALAHANDI,Autumn     ,3902,4731.3,Maize
KALAHANDI,Summer     ,77,86.2,Maize
KANDHAMAL,Autumn     ,1777,1803.8,Maize
KANDHAMAL,Summer     ,3,4,Maize
KENDUJHAR,Autumn     ,1972,3458.2,Maize
KENDUJHAR,Summer     ,4,7.8,Maize
KENDUJHAR,Winter     ,1,2.2,Maize
KHORDHA,Autumn     ,4,8.3,Maize
KHORDHA,Summer     ,2,2,Maize
KORAPUT,Autumn     ,4967,9892.3,Maize
KORAPUT,Summer     ,501,1145.8,Maize
MALKANGIRI,Autumn     ,580,673.9,Maize
MALKANGIRI,Summer     ,25,48.5,Maize
MALKANGIRI,Winter     ,6,7.7,Maize
MAYURBHANJ,Autumn     ,916,1396.3,Maize
MAYURBHANJ,Summer     ,51,105.1,Maize
MAYURBHANJ,Winter     ,9,19.5,Maize
NABARANGPUR,Autumn     ,51473,131770.9,Maize
NABARANGPUR,Summer     ,1374,4002.5,Maize
NAYAGARH,Autumn     ,298,524.8,Maize
NAYAGARH,Summer     ,1,0.9,Maize
NUAPADA,Autumn     ,390,438,Maize
NUAPADA,Summer     ,1,2.2,Maize
RAYAGADA,Autumn     ,4454,6182.7,Maize
RAYAGADA,Summer     ,98,162.4,Maize
RAYAGADA,Winter     ,117,161.1,Maize
SAMBALPUR,Autumn     ,43,50.4,Maize
SONEPUR,Autumn     ,22,16.5,Maize
SUNDARGARH,Autumn     ,456,925.6,Maize
SUNDARGARH,Summer     ,1,2.8,Maize
AMRITSAR,Kharif     ,1000,4000,Maize
BATHINDA,Kharif     ,1000,4000,Maize
FATEHGARH SAHIB,Kharif     ,1000,4000,Maize
GURDASPUR,Kharif     ,1000,3000,Maize
HOSHIARPUR,Kharif     ,59000,222000,Maize
JALANDHAR,Kharif     ,8000,29000,Maize
KAPURTHALA,Kharif     ,3000,11000,Maize
LUDHIANA,Kharif     ,3000,21000,Maize
NAWANSHAHR,Kharif     ,10000,44000,Maize
PATHANKOT,Kharif     ,8000,18000,Maize
PATIALA,Kharif     ,1000,5000,Maize
RUPNAGAR,Kharif     ,20000,58000,Maize
S.A.S NAGAR,Kharif     ,8000,30000,Maize
SANGRUR,Kharif     ,2000,7000,Maize
EAST DISTRICT,Kharif     ,8990,15400,Maize
NORTH DISTRICT,Kharif     ,2750,4290,Maize
SOUTH DISTRICT,Kharif     ,14300,25200,Maize
WEST DISTRICT,Kharif     ,13840,24000,Maize
ADILABAD,Kharif     ,9764,25601,Maize
ADILABAD,Rabi       ,13614,43156,Maize
KARIMNAGAR,Kharif     ,53598,245318,Maize
KARIMNAGAR,Rabi       ,54493,296987,Maize
KHAMMAM,Kharif     ,16750,56330,Maize
KHAMMAM,Rabi       ,16045,104694,Maize
MAHBUBNAGAR,Kharif     ,176277,317122,Maize
MAHBUBNAGAR,Rabi       ,6216,32242,Maize
MEDAK,Kharif     ,110476,170464,Maize
MEDAK,Rabi       ,17149,56043,Maize
NALGONDA,Kharif     ,2869,2163,Maize
NALGONDA,Rabi       ,977,5181,Maize
NIZAMABAD,Kharif     ,39136,191688,Maize
NIZAMABAD,Rabi       ,18518,92312,Maize
RANGAREDDI,Kharif     ,45795,131935,Maize
RANGAREDDI,Rabi       ,2405,11169,Maize
WARANGAL,Kharif     ,67200,267994,Maize
WARANGAL,Rabi       ,40189,257652,Maize
DHALAI,Kharif     ,804,952,Maize
GOMATI,Kharif     ,333,424,Maize
KHOWAI,Kharif     ,453,670,Maize
NORTH TRIPURA,Kharif     ,1326,1843,Maize
SEPAHIJALA,Kharif     ,303,372,Maize
SOUTH TRIPURA,Kharif     ,558,723,Maize
UNAKOTI,Kharif     ,263,337,Maize
WEST TRIPURA,Kharif     ,479,642,Maize
AGRA,Kharif     ,45,117,Maize
AGRA,Summer     ,299,532,Maize
ALIGARH,Kharif     ,14445,30956,Maize
ALIGARH,Summer     ,712,1266,Maize
ALLAHABAD,Kharif     ,165,293,Maize
ALLAHABAD,Rabi       ,54,129,Maize
AMBEDKAR NAGAR,Kharif     ,394,286,Maize
AMBEDKAR NAGAR,Rabi       ,51,122,Maize
AMBEDKAR NAGAR,Summer     ,264,469,Maize
AMETHI,Kharif     ,539,392,Maize
AMETHI,Rabi       ,10,24,Maize
AMETHI,Summer     ,86,153,Maize
AMROHA,Kharif     ,1807,2458,Maize
AMROHA,Rabi       ,7,17,Maize
AMROHA,Summer     ,327,581,Maize
AURAIYA,Kharif     ,8219,19808,Maize
AURAIYA,Rabi       ,83,199,Maize
AURAIYA,Summer     ,326,580,Maize
AZAMGARH,Kharif     ,6568,12486,Maize
AZAMGARH,Rabi       ,114,170,Maize
AZAMGARH,Summer     ,309,549,Maize
BAGHPAT,Kharif     ,31,73,Maize
BAGHPAT,Summer     ,1,2,Maize
BAHRAICH,Kharif     ,66628,85017,Maize
BAHRAICH,Rabi       ,743,1778,Maize
BAHRAICH,Summer     ,2254,4008,Maize
BALLIA,Kharif     ,27434,40575,Maize
BALLIA,Rabi       ,3876,5783,Maize
BALLIA,Summer     ,745,1325,Maize
BALRAMPUR,Kharif     ,7772,9241,Maize
BALRAMPUR,Rabi       ,428,1024,Maize
BALRAMPUR,Summer     ,266,473,Maize
BANDA,Kharif     ,3,5,Maize
BARABANKI,Kharif     ,2980,2166,Maize
BARABANKI,Rabi       ,85,204,Maize
BARABANKI,Summer     ,299,532,Maize
BAREILLY,Kharif     ,54,106,Maize
BAREILLY,Summer     ,413,734,Maize
BASTI,Kharif     ,2273,4041,Maize
BASTI,Rabi       ,1,3,Maize
BASTI,Summer     ,200,356,Maize
BIJNOR,Kharif     ,5,9,Maize
BIJNOR,Rabi       ,2,5,Maize
BUDAUN,Kharif     ,7829,17005,Maize
BUDAUN,Rabi       ,4,10,Maize
BUDAUN,Summer     ,4230,7521,Maize
BULANDSHAHR,Kharif     ,37867,89290,Maize
BULANDSHAHR,Summer     ,2537,4511,Maize
CHANDAULI,Kharif     ,10,16,Maize
CHANDAULI,Rabi       ,40,96,Maize
CHITRAKOOT,Kharif     ,14,25,Maize
DEORIA,Kharif     ,5314,11053,Maize
DEORIA,Rabi       ,1626,5894,Maize
DEORIA,Summer     ,419,745,Maize
ETAH,Kharif     ,20898,66393,Maize
ETAH,Summer     ,3785,6730,Maize
ETAWAH,Kharif     ,4787,12767,Maize
ETAWAH,Rabi       ,2,5,Maize
ETAWAH,Summer     ,1151,2046,Maize
FAIZABAD,Kharif     ,1457,1059,Maize
FAIZABAD,Rabi       ,87,208,Maize
FAIZABAD,Summer     ,1360,2418,Maize
FARRUKHABAD,Kharif     ,26921,51850,Maize
FARRUKHABAD,Summer     ,1402,2493,Maize
FATEHPUR,Kharif     ,227,404,Maize
FATEHPUR,Rabi       ,49,117,Maize
FATEHPUR,Summer     ,5,9,Maize
FIROZABAD,Kharif     ,9398,25572,Maize
FIROZABAD,Summer     ,1470,2614,Maize
GAUTAM BUDDHA NAGAR,Kharif     ,213,362,Maize
GHAZIABAD,Kharif     ,104,245,Maize
GHAZIABAD,Summer     ,13,23,Maize
GHAZIPUR,Kharif     ,627,996,Maize
GHAZIPUR,Rabi       ,74,177,Maize
GHAZIPUR,Summer     ,101,180,Maize
GONDA,Kharif     ,43274,50155,Maize
GONDA,Rabi       ,237,567,Maize
GONDA,Summer     ,2789,4959,Maize
GORAKHPUR,Kharif     ,2600,4022,Maize
GORAKHPUR,Rabi       ,33,119,Maize
GORAKHPUR,Summer     ,238,423,Maize
HAPUR,Kharif     ,659,1551,Maize
HAPUR,Summer     ,162,288,Maize
HARDOI,Kharif     ,32000,54048,Maize
HARDOI,Rabi       ,79,189,Maize
HARDOI,Summer     ,1490,2649,Maize
HATHRAS,Kharif     ,3042,6516,Maize
HATHRAS,Summer     ,255,453,Maize
JALAUN,Kharif     ,3,3,Maize
JAUNPUR,Kharif     ,45029,71506,Maize
JAUNPUR,Rabi       ,35,84,Maize
JAUNPUR,Summer     ,440,782,Maize
JHANSI,Kharif     ,1152,772,Maize
